JobTitle,Company,Location,PostDate,ExtractDate,Summary,Pay,JobUrl,Requirements,Description
Data Scientist,TikTok,"Mountain View, CA",Active 7 days ago,2021-05-18,"Knowledge in basic machine learning and deep learning; The team is made up of machine learning researchers and engineers, who support and innovate on production…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1xek5knTnC5i_gSNNUQ677KkFw824YX3Xvyf6DkeM2VycB-_zAS9fKDHwOMPdvrdR4u0Tv4wl7d-t6NNfzcWVhifd4XJJJedGUxyeMW3HyuTJY5gyoDagjnOUPzPkaak-fUZxt2Ux8bwHvRWnmNYUzvuA78slyBqQd-IGc4ChLdkSBzWPXRlIL4MLc3hnJft9O8NpBbGDRBY3PvBPKgKDcNjki0u79N9hEfO3Dc2ryymlAfwGZc26h39JMnwihN_ol-qgww6-2OIUqQSsjHPvu0UnmjM6EtH2fM-IAbLzgnyWuEFtdeqM100BLfXTCQPNOJwCPOKkG-djIP5wtRUrTAfh-ReLLfuiXtbWzzprPOzmLqv8zI_CUeKrBnG-35EPK8X7dk-OhDZenhzxoXqdvYcQ4fIiEA0KZlGK0MBPkwSL2v1_c1w9POzOqZSyTSti0ygB4Ki2jg==&p=0&fvj=1&vjs=3,Work authorization:United States (Required),"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.Responsibilities - What You'II DoDesign and analyze experiments to verify product hypothesis and direction;Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;Keep track of core metrics and attribute metrics changes to root causes;Analyze market dynamics, potential gain and cost of new product initiatives, and consult on product strategy;Use data and experiment to verify hypothesis around bottlenecks in product growth, and consult on direction for improvement;Work with engineers and product stakeholders to deliver product insights.QualificationsMaster degree in statistics, econometrics, quantitative sociology or a related scientific major, with 3+ years of related work experience;Expertise in SQL and programming in Python or R;Knowledge in basic machine learning and deep learning;Strong analytical and causal reasoning mindset, and rigidity on statistical correctness;Strong communication and teamwork skills;Passion about social product and curiosity to deep dive.Job Type: Full-timeWork authorization:United States (Required)COVID-19 Precaution(s):Remote interview processVirtual meetings"
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA",25 days ago,2021-05-18,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions. Candidates will help own analytics for a particular…,,https://www.indeed.com/rc/clk?jk=1aa28aee31da7ff9&fccid=1639254ea84748b5&vjs=3,None,"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc.Design and implement reporting dashboards that track key business metrics and provide actionable insightsIdentify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groupsWork closely with Product or Engineering & Operations teams to proactively create rule and manage decisionsPrioritize leads so that the teams work on the most valuable casesSuggest improvements in the tools and techniques to help scale the teamCurrently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science, Mathematics, Economics, Statistics or related technical fieldExperience utilizing both qualitative analysis (e.g., content analysis, phenomenology, hypothesis testing) and quantitative analysis techniques (e.g., clustering, regression, pattern recognition, descriptive and inferential statistics)Experience in presenting qualitative and quantitative dataMust obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employmentExperience as a Programmer - Python, Perl, Java, and/or C++Experience in collaborating with individuals and organizationsInternship experience in solving analytical problems using quantitative approachesFacebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
Data Scientist,Two Barrels,"Spokane, WA",4 days ago,2021-05-18,Recommend new data streams and ensure data integrity. 3-5 years’ experience working as a data scientist or related position.,"$100,000 a year",https://www.indeed.com/company/Two-Barrels/jobs/Data-Scientist-9b40a9c79f4ce3c6?fccid=1a040c8f02784ce0&vjs=3,None,"Overview: Two Barrels is hiring a Data Scientist for $100,000/year. You will be a traditional company employee. This is a full time 40 hour M-F position with company benefits.As a Data Scientist at Two Barrels, you will work closely with our Software, Product, and Analyst teams to gain insights for our business. The ideal candidate is adept at using large data sets in SQL to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. You’ll work with a variety of stakeholders to drive our business in new exciting directions. You’ve got to be passionate about digging for solutions and scratching that itch.Location: Spokane, WA or RemoteDuration: Full TimeWage: $100,000/yearResponsibilities: Mine and analyze data from our PostgreSQL databases to drive optimization and improvement of product development, marketing techniques and business strategies.Work with stakeholders to identify opportunities for leveraging this data to drive business solutions.Recommend new data streams and ensure data integrity.Develop custom data models and algorithms to apply to data sets.Develop processes and tools to monitor and analyze model performance and data accuracy.Ensure data is being delivered to analysts efficiently and correctly.Minimum Qualifications: Bachelor’s (BA or BS) in computer science, Statistics, Mathematics or related field.3-5 years’ experience working as a data scientist or related position.Advanced experience using SQL to query databases.Experience with statistical computer languages (R, Python, Matlab).Strong problem solving skills with an emphasis on product development.Ability to communicate actionable insights using data, often for non-technical people.Preferred Qualifications: MS in Data Science, Statistics or other quantitative fieldWhy you might like this job: You are eager to ask questions and find out the “why”.You want to be a part of a company that likes to try new things.You are driven to find the best solution for a problem and make a direct and thoughtful impact.You love technology and feel passionate about making decisions based on some serious amount of data.You want your work to have a long-term, meaningful purpose.Benefits: Great Wage$1,001 WFH Allowance for home office set-up18 days paid time off (flexible time off after 5 years)4 paid holidays off of your choosing (additional 7 holidays off after 3 years)4% retirement matching through a Charles Schwab 401(k)100% employer-paid medical, dental and vision for employeesMaternity and Paternity LeaveFlexible hoursCoffee shop next doorCrappy parking? Oh, I mean a cool downtown location for easy public transportation options…Job Type: Full-time"
Data Scientist,ASSURANCE,"Seattle, WA",30+ days ago,2021-05-18,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…",,https://www.indeed.com/rc/clk?jk=94c4fe7af9489141&fccid=5434780ac3971e0d&vjs=3,None,"About AssuranceAssurance IQ is a technology company headquartered in Seattle. We were acquired by Prudential (NYSE: PRU) to further the joint mission of improving financial wellness across the world.Our team of world class software engineers, data scientists, and business professionals work every day to expand our product offerings and the reach of our platform. We simplify the complex world of insurance and financial services into straightforward, valuable solutions to improve people's lives. We start by asking customers a few questions, so our system can learn about their needs; from there, our ground-breaking, proprietary platform takes over and analyzes the thousands of data points that make customers unique. This is how we create custom-tailored plans for each customer; plans built precisely for their needs and budget. Our platform serves as the intersection between customer and seller, technology, and the human touch.At Assurance, we are innovative, persevering, collaborative, calculated, and authentic, and we're working together to improve the lives of millions!About the PositionAs we build the future of consumer insurance in a modern age, data is at the core of everything that we do. The role requires team members who are adept at using large data sets to find opportunities for optimization and can leverage appropriate models to test the effectiveness of different courses of action. Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations. Team members must be very comfortable writing production-ready code to include testing and maintenance infrastructure, and able to put models and analysis into production with no support from engineering (we own our stack end to end). At Assurance, we hire experts in their field, and we give them the independence and trust to build based on their expertise.About YouYou have a proven ability to drive business results with data-based insights and are comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. You’re capable of getting data for analysis on your own, without reliance on engineering, and you can build professional dashboards as standalone software products and tools. We’re growing at a rapid pace, so it’s important that you embrace the opportunity to blaze your own trail. You thrive in a fast-paced environment where priorities can shift rapidly as we corner opportunity. You can work independently, with little oversight or guidance.To be successful in this role, you must possess the following:Proficiency in either Python or R, and expertise in SQL.Experience working with AWS or another cloud-based computing platform.Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.Experience with BI tools like Tableau or Looker (preferred), or any other industry tool such Qlik, PowerBI, Spotfire, etc.Excellent communication ability – you can explain your work in a way that anyone on the team can understand, and you can frame problems in a way that ensures the right question is being asked.Business Acumen – you are always eager to understand how the business works, and more specifically, how your work impacts the business.Enthusiastic yet humble – you are excited about the work you do, but you are also humble enough to embrace feedback – you don’t need to be the smartest person in the room.Bachelors degree in mathematics, statistics, data science or related field of study.The following additional experience is desired:Experience retraining a model within a few days or update a model within one day.Capable of performing an in-depth analysis and summarizing findings in one day.Comfortable having conversations with our executive team and non-technical team members to distill down their needs and to deliver actionable insights.Please review our CCPA policies here."
Data Scientist,"Dauntless, Inc.","Redmond, WA",Active 3 days ago,2021-05-18,Present information using data visualization techniques. Build predictive models and machine-learning algorithms. Combine models through ensemble modeling.,"$100,000 - $120,000 a year","https://www.indeed.com/company/Dauntless,-Inc./jobs/Data-Scientist-da6b973900c03cc0?fccid=2841b6354d51ff15&vjs=3",Bachelor's (Preferred)Machine Learning: 1 year (Preferred)Python: 1 year (Preferred),"Are you interested in a fast-paced position analyzing large data sets to find patterns, extract valuable business insights, and drive decisions in the fastest growing industry in the world? Do you want the opportunity to utilize your deep knowledge of data and knack for analysis, math, and statistics? We are looking to hire a Data Scientist to help our growing development team make effective use of our rapidly growing catalog of data for the cannabis industry. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. You'll help drive business decisions both internally and for our partners in the cannabis industry.ResponsibilitiesIdentify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to discover trends and patternsBuild predictive models and machine-learning algorithmsCombine models through ensemble modelingPresent information using data visualization techniquesPropose solutions and strategies to business challengesCollaborate with engineering and product development teamsSkillsProven experience as a Data Scientist or Data AnalystExperience in data miningUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. PowerBI, Tableau) and data frameworks (e.g. Hadoop)Familiarity with cloud services (Azure especially)Analytical mind and business acumenStrong math skills (e.g. statistics, algebra)Problem-solving aptitudeExcellent communication and presentation skillsBSc/BA in Computer Science, Engineering or relevant experience;Please include the answers to the following with your cover letter1. Tell us something about Dauntless that interests you?2. What is a problem that you solved that you are most proud of?3. What's your favorite tool that allows you to be more efficient?Job Type: Full-timePay: $100,000.00 - $120,000.00 per yearBenefits:Flexible schedulePaid time offSchedule:Monday to FridayCOVID-19 considerations:All of our staff wears facial coverings when in public or at the office. All staff are working remotely or at home using Microsoft Teams as a mechanism to stay connected and to collaborate.Education:Bachelor's (Preferred)Experience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)Work Location:One locationWork Remotely:Temporarily due to COVID-19"
Jr Data Scientist-AI/ML (Remote-United States),Dell Technologies,"San Francisco Bay Area, CA",3 days ago,2021-05-18,Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Solve complex business and customer issues utilizing…,,https://www.indeed.com/rc/clk?jk=fe8826146e86cb6d&fccid=dd09fe3b43125016&vjs=3,None,"Jr Data Scientist-AI/ML (Remote-United States)Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.Join us to do the best work of your career and make a profound social impact as a Senior Data Scientist within our Digital IT organization's Digital Analytics and Data Science team.What you’ll achieveYou will be part of a team that innovates and collaborates with internal stakeholders to deliver world-class solutions with a customer first mentality. This group is passionate about the data science field and is motivated to find opportunity in, and develop solutions for, evolving challenges.You will:Solve complex business and customer issues utilizing AI/MLBuild prototypes and scalable AI/ML solutions that will be integrated into software productsCollaborate with software engineers, business stakeholders and product owners in an Agile environmentHave complete ownership of model outcomes and drive continuous improvementTake the first step towards your dream careerEvery Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:Essential RequirementsGraduate degree in Data Science, Computer Science, Engineering, Physics, Math, Statistics or similar field; must have excellent statistics and math skillsAbility to code in Python and SQLAI/Machine Learning knowledge across Deep learning, NLP, Classification, Regression etc.Desirable RequirementsExperience with Big Data technologiesHere’s our story; now tell us yoursDell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We’re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.What’s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life - while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.We started with computers, but we didn’t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what’s next in technology, starting today.You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here.Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Equal Employment Opportunity Policy here.#LI-Remote""LI-Priority""Job ID: R103834"
Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Microsoft,"Redmond, WA",30+ days ago,2021-05-18,"Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.",,https://www.indeed.com/rc/clk?jk=1f0040be0579af5e&fccid=734cb5a01ee60f80&vjs=3,None,"Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft. #NeurIPS2020Do you want to work on a meaningful and impactful project and make a difference?Are you willing to learn from others and open to new ideas?Do you want to support others to succeed and operate in a highly-collaborative and global environment?If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.Read on to learn more about opportunities and apply online! #MSRConfResponsibilitiesAs a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results. #ResearchQualificationsCurrently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational NeurologySome Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.Some experience and or project course work with product and service telemetry systems.Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.Ability to interact with peers and stakeholders to drive product and business impact.Strong interpersonal and communications skills.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Data Scientists,Ars Quanta,"Seattle, WA",30+ days ago,2021-05-18,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries…,,https://www.indeed.com/rc/clk?jk=b9166af973fb1815&fccid=962b551e7e354052&vjs=3,None,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.
Data Science Intern,Experian,United States,4 days ago,2021-05-18,Identify/develop appropriate machine learning/data mining/text mining techniques to uncover the value of the data. Conducting ROI and benefit analysis.,,https://www.indeed.com/rc/clk?jk=76e9d761015c7e61&fccid=75a3a5a15b202084&vjs=3,None,"Our 2021 Summer Internship Program will be a remote experience this year (thanks COVID). But please be rest assured that we have plans in place to make sure you won’t miss a beat by not being in the office. You will be connected, supported, and have great opportunities to gain valuable experience in a fast-paced, innovative global company.The Experian Summer Internship Program is a unique opportunity to apply your knowledge and experience in a fast-paced, innovative company, all while working with the latest technology and tools! Our Interns work 40 hours per week, in one of two start dates:Date 1 runs May 17 – July 23Date 2 runs June 14 – August 20thAre you…?Curious?Interested in researching new ideas and technologies?Looking for a great place to start your career?The Experian DataLabs is a R&D unit at Experian, and they are looking for an intern. The team was formed with the desire to work in collaboration with Experian’s business units to enhance relationships with clients and acquire strategic datasets.The Data Science Intern will be part of Experian North America R&D Data Lab concentrating on research and development of novel analytical solutions, new product prototyping, as well as new data asset evaluation and acquisition. This position requires extensive background and knowledge in machine learning and data mining. Previous experience in analyzing large datasets and developing data driven statistical models is desirable. Experience in text mining and online marketing is a plus.Analyzing, processing, evaluating, and documenting large data setsIdentify/develop appropriate machine learning/data mining/text mining techniques to uncover the value of the dataDesigning data structure and data storage schemes for efficient data manipulation and information retrievalDeveloping tools for data processing and information retrievalDeveloping data driven models to quantify the value of a given data setApplying, modifying, and inventing algorithms to solve challenging business problemsValidating score performanceConducting ROI and benefit analysisDocumenting and presenting model process and model performanceBackgroundAdvanced degree in Machine Learning, Computer Science, Electrical Engineering, Physics, Statistics, Applied Math, or other quantitative fields0-3 years of working experience in analytics, data mining, and/or predictive modelingDemonstrated ability to lead and execute projects from start to finishAbility to independently support existing productsProven track record in modifying and applying advanced algorithms to address practical problemsExperience with regression, Neural Network, SVM, and/or ensemble methodsProven ability to work independently on development of complex models with extremely large and complex data structuresProficient in more than one of Python, R, Java, C++, or CRobust knowledge and experience with statistical methodsExperian is proud to be an Equal Opportunity and Affirmative Action employer. Our goal is to create a thriving, inclusive and diverse team where people love their work and love working together. We believe that diversity, equity, and inclusion is essential to our purpose of creating a better tomorrow. We value the uniqueness of every individual and want you to bring your whole, authentic self to work. For us, this is The Power of YOU, and it ensures that we live what we believe."
Staff Data Scientist,The Walt Disney Company (Corporate),"Seattle, WA",30+ days ago,2021-05-18,"You will help identify the high impact data science opportunities related to the Disney cloud space, sometimes starting with an area like cost optimization, and…",,https://www.indeed.com/rc/clk?jk=a66f2dc7b18476a3&fccid=4ed80f3a97849f22&vjs=3,None,"Job Summary:Cloud Platform Engineering creates software solutions in the cloud and for Disney teams to operate in the cloud. We enable them to do more in the cloud securely, and in less time. As the first data scientist in the group, this will be a technical leadership role. You will leverage your leadership, communication ability and data science discipline in the Cloud Platform group. You will act as a force multiplier, providing insights and education as you execute projects on your own or as the lead. You will help identify the high impact data science opportunities related to the Disney cloud space, sometimes starting with an area like cost optimization, and in other cases starting with a deep understanding of the cloud data. Some of the work you'll be doing:cloud account provisioning and automationcentralized cloud logging, operational and best practices insightscloud cost related analytics and avoidance recommendationsResponsibilities:Provide data driven solutions for business needs related to enterprise and individual cloud accounts including but not limited to cost analytics and avoidance recommendations.Answer business questions using cloud data and cloud data analysis tooling.Design, educate and implement data solutions as scalable cloud solutions.Understand the current and ongoing landscape of analytical techniques including classic statistical analysis, data modeling, regression, anomalous detection, clustering, contextualization, etc.Mitigate cognitive biases in generation and presentation of reports and informationEducation of stakeholders, teams and leadershipCommunicate insights, design and implementation to both technical and non-technical audiencesPartner with internal data experts, developers, and tech teams to develop and maintain existing solutions and create new solutions.Basic Qualifications:+ years of hands-on experience designing, building, and evaluating practical data science solutions to solve business problems3+ years Python or R2+ years in AWS or Azure1+ years in machine learningExperience in data capture, analysis and reporting in a cloud environmentProven track record of extracting accurate conclusions and identifying trends from quantitative information.Experience providing and communicating complex quantitative analysis reports and data visualization in a clear, precise, and actionable mannerExperience driving and completing projects through technical leadership in a complex, matrixed organization Skills:Knowledge and understanding of cloud KPIs regarding cost, usage and operational dimensionsKnowledge and experience with SQL and NoSQL design, DDL and DML.Knowledge and experience with Big Data management, processing and analysis tools and strategies in Azure and/or AWSKnowledge and experience with cloud available Machine Learning frameworks and tools such as Tensor Flow , PyTorch, ONNX, etcData processing & ML languages (Python, R)Preferred Qualifications:Knowledge and familiarity with data visualization and presentation tools and strategies.Understanding of data sovereignty and data localization and how they impact implementation for data processing, aggregation, analysis and presentation.AWS Certification - Machine LearningMS Certification - Azure Data Scientist AssociateMS Certification - Azure AI Engineer AssociateRequired EducationMasters or equivalent work experience"
