City,Q1,Q2,Q3,Q4,count,Q1p,Q2p,Q3p,Q4p
albuquerque,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
alexandria,1.0,0.0,0.0,1.0,2.0,50%,0%,0%,50%
amlin,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
ann arbor,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
annapolis junction,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
arlington,0.0,0.0,2.0,0.0,2.0,0%,0%,100%,0%
ashburn,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
atlanta,3.0,0.0,2.0,4.0,9.0,33%,0%,22%,44%
austin,4.0,1.0,2.0,1.0,8.0,50%,12%,25%,12%
baltimore,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
beaverton,0.0,0.0,2.0,0.0,2.0,0%,0%,100%,0%
bellevue,2.0,2.0,3.0,4.0,11.0,18%,18%,27%,36%
bellingham,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
bend,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
bentonville,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
bethesda,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
beverly hills,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
bolingbrook,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
boston,2.0,0.0,6.0,0.0,8.0,25%,0%,75%,0%
bothell,2.0,0.0,0.0,0.0,2.0,100%,0%,0%,0%
boulder,1.0,0.0,1.0,1.0,3.0,33%,0%,33%,33%
brooklyn,1.0,1.0,0.0,0.0,2.0,50%,50%,0%,0%
broomfield,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
burbank,0.0,2.0,0.0,0.0,2.0,0%,100%,0%,0%
burlingame,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
cambridge,0.0,0.0,4.0,0.0,4.0,0%,0%,100%,0%
carlsbad,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
champaign,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
chandler,2.0,0.0,0.0,0.0,2.0,100%,0%,0%,0%
charlotte,2.0,0.0,2.0,2.0,6.0,33%,0%,33%,33%
chevy chase,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
chicago,2.0,1.0,1.0,1.0,5.0,40%,20%,20%,20%
cibolo,2.0,0.0,0.0,0.0,2.0,100%,0%,0%,0%
cleveland,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
columbia,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
columbus,0.0,0.0,1.0,2.0,3.0,0%,0%,33%,67%
corning,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
corona,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
dallas,1.0,2.0,1.0,1.0,5.0,20%,40%,20%,20%
deerfield,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
deforest,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
denver,1.0,1.0,3.0,1.0,6.0,17%,17%,50%,17%
des plaines,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
detroit,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
dodgeville,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
draper,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
durham,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
el segundo,1.0,2.0,0.0,0.0,3.0,33%,67%,0%,0%
englewood cliffs,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
fort gordon,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
fort leavenworth,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
fort meade,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
fremont,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
gilbert,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
glen echo,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
glendale,2.0,0.0,1.0,0.0,3.0,67%,0%,33%,0%
golden valley,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
greensboro,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
half moon bay,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
hamel,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
harrisburg,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
hartford,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
herndon,1.0,0.0,0.0,1.0,2.0,50%,0%,0%,50%
hillsboro,0.0,2.0,1.0,0.0,3.0,0%,67%,33%,0%
houston,2.0,1.0,4.0,0.0,7.0,28%,14%,56%,0%
idaho falls,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
irving,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
jersey city,0.0,0.0,1.0,2.0,3.0,0%,0%,33%,67%
johns creek,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
juno beach,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
kirkland,0.0,0.0,1.0,1.0,2.0,0%,0%,50%,50%
lakewood,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
lawrenceville,1.0,1.0,0.0,0.0,2.0,50%,50%,0%,0%
lehi,0.0,0.0,1.0,1.0,2.0,0%,0%,50%,50%
lincolnshire,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
livermore,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
long island city,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
los angeles,1.0,7.0,1.0,1.0,10.0,10%,70%,10%,10%
loves park,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
madison,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
malvern,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
mclean,0.0,0.0,1.0,1.0,2.0,0%,0%,50%,50%
medford,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
menlo park,1.0,0.0,1.0,0.0,2.0,50%,0%,50%,0%
miami,0.0,1.0,0.0,1.0,2.0,0%,50%,0%,50%
minneapolis,2.0,0.0,1.0,0.0,3.0,67%,0%,33%,0%
morristown,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
morrisville,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
mount vernon,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
mountain view,0.0,1.0,1.0,1.0,3.0,0%,33%,33%,33%
nashville,0.0,2.0,2.0,0.0,4.0,0%,50%,50%,0%
new york,3.0,6.0,14.0,11.0,34.0,9%,18%,41%,32%
newark,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
newberg,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
northampton,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
oklahoma city,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
orlando,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
orrville,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
palo alto,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
parsippany,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
peoria,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
philadelphia,1.0,0.0,1.0,0.0,2.0,50%,0%,50%,0%
phoenix,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
piscataway,0.0,2.0,0.0,0.0,2.0,0%,100%,0%,0%
pittsburgh,0.0,1.0,1.0,0.0,2.0,0%,50%,50%,0%
portland,4.0,1.0,1.0,2.0,8.0,50%,12%,12%,25%
princeton,1.0,2.0,1.0,0.0,4.0,25%,50%,25%,0%
provo,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
quincy,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
raleigh,0.0,0.0,2.0,0.0,2.0,0%,0%,100%,0%
redmond,4.0,2.0,7.0,5.0,18.0,22%,11%,39%,28%
redwood city,0.0,1.0,1.0,0.0,2.0,0%,50%,50%,0%
remote,18.0,18.0,16.0,19.0,71.0,25%,25%,23%,27%
renton,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
research triangle park,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
reston,0.0,0.0,1.0,1.0,2.0,0%,0%,50%,50%
richland,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
richmond,0.0,0.0,0.0,2.0,2.0,0%,0%,0%,100%
riverwoods,1.0,0.0,0.0,1.0,2.0,50%,0%,0%,50%
rockland,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
rogers,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
roswell,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
roy,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
salt lake city,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
san antonio,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
san diego,0.0,5.0,2.0,1.0,8.0,0%,62%,25%,12%
san francisco,1.0,18.0,5.0,1.0,25.0,4%,72%,20%,4%
san francisco bay area,0.0,3.0,0.0,0.0,3.0,0%,100%,0%,0%
san jose,0.0,2.0,0.0,0.0,2.0,0%,100%,0%,0%
san juan,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
san mateo,0.0,2.0,0.0,0.0,2.0,0%,100%,0%,0%
santa barbara,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
santa clara,0.0,1.0,3.0,0.0,4.0,0%,25%,75%,0%
santa monica,2.0,0.0,0.0,2.0,4.0,50%,0%,0%,50%
schenectady,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
seattle,46.0,0.0,0.0,40.0,86.0,53%,0%,0%,47%
south bend,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
south jordan,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
south san francisco,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
spokane,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
spring house,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
st. louis,2.0,0.0,2.0,0.0,4.0,50%,0%,50%,0%
stamford,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
sunnyvale,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
tacoma,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
tampa,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
tarrytown,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
tualatin,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
vienna,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
warrenville,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
washington,0.0,1.0,6.0,6.0,13.0,0%,8%,46%,46%
waterford,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
west hollywood,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
west sacramento,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
whitehall,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
wilmington,0.0,1.0,0.0,0.0,1.0,0%,100%,0%,0%
woodcliff lake,1.0,0.0,0.0,0.0,1.0,100%,0%,0%,0%
woodlawn,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
woodstock,0.0,0.0,1.0,0.0,1.0,0%,0%,100%,0%
zone,0.0,0.0,0.0,1.0,1.0,0%,0%,0%,100%
