,JobTitle,Company,Location,Summary,JobUrl,Requirements,Description,State,City,DatePosted,Schedule,Salary,Role,Focus,median_sal,iqr,low,high,median_sal_prediction,iqr_prediction,low_prediction,high_prediction,fin_iqr,fin_above_med_sal,Q1,Q2,Q3,Q4,out,Q
210,data scientist,adobe,"Lehi, UT",demonstrate strength in sql  nosql  etl modeling  data modeling  data caching  schema design and data warehouse architecture ,https://www.indeed.com/rc/clk?jk=c1750999b7e2f20e&fccid=f89deb5a97c7738a&vjs=3,none,our companychanging the world through digital experiences is what adobe’s all about  we give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences  we’re passionate about empowering people to create beautiful and powerful images  videos  and apps  and transform how companies interact with customers across every screen we’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity  we realize that new ideas can come from everywhere in the organization  and we know the next big idea could be yours about workfrontworkfront  an adobe company  is the leader in enterprise work management  together  adobe and workfront provide companies a single system to support planning  collaboration  and governance to unlock organizational productivity and create exceptional experiences  workfront helps people do their best work so companies can thrive in a digital world  workfront is built for people  effortlessly connecting teams and easily integrating into existing applications and systems  the ability to see  measure  and analyze critical factors such as resources  outcomes  and priorities keeps everyone on the same page  with a clear understanding of why their work matters role purposeas a data scientist you will be a key player in the evolution of workfront’s data platform and architecture  you will participate in designing  prototyping and building our machine learning and artificial intelligence platform  you'll be adopting new technologies to create a cutting edge data platform to be utilized by workfront customers looking to improve their knowledge  capabilities and efficiency in getting work done  you will be expected to push the envelope consistently  working closely with a small to medium sized team to iteratively design and shape the workfront data platform while helping other engineers become more proficient in utilizing what you have created what you will dodrive the evolution of data infrastructure  processes  products and services to provide a highly scalable and well performing data platform vet new messaging  caching and data technologies to provide potential ways to improve our platform debate the optimal design and ideal user experience for a variety of unrealized features identified by our product friends  or propose some ideas of your own help qa and other software engineers find the best way to test your work to ensure that  not only does it work as advertised  but will continue to work and perform at mass scale when thousands upon thousands of people are using it at the same time participate and or lead discussions with your team about what emerging tools  technologies and processes are coming that may impact how we improve our products and our saas platform in the future provide your well considered opinions to the creation and modification of our technology roadmaps desired competencies and experiencebachelor’s degree in computer science  mathematics  or related discipline   or equivalent work experience 3  years of programming experience with 2  years of recent experience in modern languages and or technology in use at workfront demonstrate strength in sql  nosql  etl modeling  data modeling  data caching  schema design and data warehouse architecture ability to describe concepts and whiteboard designs dealing with high availability  redundancy  and multi threaded mechanisms a strong devops mindset with a story to tell about how you have developed a distributed system and the pipeline to deploy it continuously without downtime  extensive experience with real time or distributed systems that perform at mass scale and can also be upgraded automatically or during peak volume periods a passion for working with large data sets  complex problem solving and a drive to work with and motivate a team of highly talented peers experience with aws technologies such as s3  glacier  ec2  lambda  api gateway  elastic map reduce  kinesis  redshift  glue or other mpp data technology experience in big data technologies such as apache hadoop  spark  spark streaming  flink or beam experience with machine learning or other leading edge technologies such as blazingdb or mapd convince us that you have successfully led measurable and  preferably  dramatic improvements in the engineering practices of a software team and that you have the passion and drive to do it again show that you are a person who  upon seeing a problem  moves quickly to solve it instead of waiting for permission and specific instructions from others values fitto us  company values are more than just words on a wall  they best describe who we are and how we get our work done genuine  we are sincere  trustworthy  and reliable exceptional  we’re committed to creating exceptional experiences that delight our employees and customers innovative  we’re highly creative and always striving to connect new ideas with business realities involved  we’re inclusive  open  and actively engaged with our customers  partners  employees  and the communities we serve at workfront  an adobe company  you will be immersed in an exceptional work environment that is recognized around the world   you will also be surrounded by colleagues who are committed to helping each other grow through our unique check in approach where ongoing feedback flows freely  if you’re looking to make an impact  we’re the place for you  discover what our employees are saying about their career experiences on the adobe life blog  21 2 26,UT,lehi,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Q4
238,data scientist,qvine corporation,"Washington, DC",experienced in working with and exploiting big data  distributed computing  predictive modelling  mathematics  statistics  machine learning  story telling  and…,https://www.indeed.com/rc/clk?jk=4e296a39b1560c96&fccid=2aa6aca8d843594f&vjs=3,none,the data scientist handles raw data  e g  structured  unstructured  and mixed datasets   and analyzes data through the application of various statistical techniques or tools knowledge  skills  and abilities the successful candidate should have at least one and preferable more than one of the following skills familiar with programming languages such as  but not limited to  r  sas  python  matlab  sql  hive  pig  and spark experienced in working with and exploiting big data  distributed computing  predictive modelling  mathematics  statistics  machine learning  story telling  and visualization demonstrates ability to extract meaning from and interpret data using a variety of tools and methods from statistics and machine learning ability to collect  clean  and mung data in a timely manner as part of a cross functional team in an intelligence  or related  environment possesses strong working knowledge of the microsoft office suite  including access  excel  powerpoint  project  visio  and word qvine corporation is an equal opportunity employer—m f d v,DC,washington,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Q3
236,data scientist,bsi,United States,bsi offers a competitive salary  group sponsored health and dental  short term and long term disability  a company matched 401k plan  company paid life…,https://www.indeed.com/rc/clk?jk=d42e9cf052814cd3&fccid=a24e94603a47ac12&vjs=3,none,great that you're thinking about a career with bsi about the role the data scientist role is a critical new role within the bsi group  this role will partner with the group innovation organization  key data owners and ai partners and will identify ways of using data to further our goals of digital assurance and advanced predictive analytics  position will identify and work closely with external data providers or strategic partners  this position will work closely with data experiments  projects  and solutions builds  this role reports to the director of ai and data science data scientist responsibilities work closely with the director to build ai and data science solutions  including productionizing workflowsassess client challenges and see how data and predictive insights can address our client needsdevelop prototype client facing solutions and supporting code that is usable across multiple facets of the businessgather and utilize large datasets from disparate sources  inventing and scaling new data science solutions to improve the way in which our business provides client insight and valueengage with internal and external data owners to identify data analysis opportunities leveraging our datasets and drive solutions lead the design  implementation  and delivery of data science solutions for significantly complex problems that have a long term impactdevelop and present demonstrations and prototypes to communicate the opportunities presented by data analysis in bsieducation qualifications bachelor’s degree or higher in a quantitative technical or related field3  years of relevant experience in one of the following areas  data engineering  database engineering  business intelligence or business analytics3  years of hands on experience in writing complex  highly optimized sql queries across large data sets3  years of experience in scripting languages like r  python  etc advanced ability to draw insights from data and clearly communicate them  verbal written  to the stakeholders and senior management as requiredexperience in working and delivering production projects with a teamwhat we offer bsi offers a competitive salary  group sponsored health and dental  short term and long term disability  a company matched 401k plan  company paid life insurance  11 paid holidays and 4 weeks paid time off our excellence behaviours  client centric  agile  collaborative  these three behaviours represent how we do things at bsi  they help us ensure that bsi is a great place to work and a highly successful business bsi is an equal opportunity employer and we are committed to diversity to protect our candidates and bsi employees during the covid 19 outbreak  all interviews will take place remotely ,United States,0,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Q2
233,sr. data scientist - analytics,acorn analytics,Remote,we are looking for the following skills and titles  data visualization  ux ui design  software product management  sometimes called solutions management   data…,https://www.indeed.com/rc/clk?jk=3cf4aec4196a5a51&fccid=9993304a3df214bf&vjs=3,none,senior data scientist  candidates should have at least 10  years of work experience  preferably in both startup and large company environments  we are looking for the following skills and titles  data visualization  ux ui design  software product management  sometimes called solutions management   data strategy  general strategic consulting  project and program management  data visualization  data science   analytics  looker certification and or experience  tableau dashboard development experience  engineering  devops  quality assurance  data cleaning   mapping  python programming  full stack engineering  front end development  aws  gcp  account executives  saas churn analysis  and google slides presentation design role summary  using your deep curiosity and desire to learn  you will focus on analytics and perform a variety of tasks related to cleaning and exploring new datasets  uncovering useful trends and observations in the data  while keeping in mind the business context and goals specific to the client acorn analytics is a data science consultancy that helps clients of varying degrees of data maturity harness the power in their data to drive smarter decision making  we are proactive communicators  upfront and candid using your attention to detail and pride in your work  you will be responsible for exploratory data analysis  eda quality assurancereviewing and refactoring codewriting scripts in python that will be run on awsaggregating and analyzing metricscreating tables and figures that will be utilized in reports to client or on client dashboardcreating google slides presentation deckscreating written content describing findingsinternal and client facing zoom callsworking closely and communicating with project leadyou will communicate with dev ops  data science project lead s   and the director of fulfillment on a regular basis  and will grow towards becoming independently client facing technical must haves include comfortable in python  proficient with pandas  matplotlib  performing exploratory data analysis  writing functionsfamiliarity using stack exchange overflow as a technical resourceexperience with jupyter notebooksexperience with gitteam interpersonal must haves include excellent communication  written  oral   comfortable asking questions and being upfront with areas of lower competenceproactive communicator  be upfront candid with any challengesexcellent attention to detail in all aspects of workstellar work ethic  takes pride in workdeeply curious with a hunger to learn  enjoys thoroughly understanding  growing  and asking questions  independent thinkerstrong interpersonal and team skillsknows how to communicate to a technical and non technical audienceability to efficiently execute against a set of projects tasksable to troubleshoot independently  and identify when outside help is needed when roadblocks are hitthrive in a fast paced  small startup environmentthis role typically has a bs ba in stem field or related discipline and or equivalent with 2 years of related work experience  or a masters phd acorn provides valuable and actionable insights into organizations' raw data  we learn what is actually driving customer behavior so that engagement and loyalty are increased  we understand with data driven precision what happened  why it happened  and what is likely to happen in the future  you will work with an engaging and dedicated team that are truly passionate about the work they do as a part time contractor  you will be working 10 15 hours week this is a telecommute work from home position zokdsolkn5,Remote,remote,2021-04-18,0,0.0,data scientist,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Q1
232,data scientist,techstyle fashion group,"El Segundo, CA",collaborate with other data scientists across our organization to share best practices  learn new analytical techniques  and champion an organizational culture…,https://www.indeed.com/rc/clk?jk=b297ace84754f84f&fccid=ea70eac78914b397&vjs=3,none,job descriptiontechstyle fashion group is looking for a data scientist how do you fit in techstyle fashion group’s in house agency takes a data driven approach to driving marketing spend across our portfolio of brands  the data scientist is responsible for developing insights which will allow the media team to scale marketing spend efficiently  increase acquisition or retention  the data scientist will partner closely with our data analytics  media and product teams to develop high impact solutions  she he will be joining a larger data science team composed of individuals with a variety of expertises and focuses within the business at techstyle you can expect to use python and sql every day  for larger projects requiring scale or automation you’ll likely be working with databricks and airflow  while these are our defaults  you will have the flexibility to use tools that allow you to best fulfil your role  additionally  we strongly believe in the need for ongoing education and so will encourage you to explore new technologies and modeling methods on a regular basis about you you’re the ideal candidate if you’re detail oriented  incredibly curious  technically capable  and intrinsically motivated to become an expert in our media systems  as much as you learned in school or at work  you’ve probably learned even more during your late night hacking sessions  you love spending time with people and are a great story teller this position will report to the sr  director of media measurement and located in el segundo  california responsibilities own execution of analytical projects from ideation to deploymentsupport ad hoc analysis requests into campaign performance and user behaviorprovide thought partnership and data support to media around design  execution  and measurement of mediabuild data visualization  advanced reports  measurement and statistical models that explain and track performance against business kpiscollaborate with other data scientists across our organization to share best practices  learn new analytical techniques  and champion an organizational culture where data is central to decision makingparticipate in the full ml model develop cycle  design  develop  qa  deploy  experiment  and analyze minimum qualifications 4  years of work experience as a data scientist or machine learning engineerfluent in r or python  python preferred   sql  and gitfamiliarity with machine learning techniques  e g  classification  clustering  regularization  optimization  dimension reduction  feature engineering strong understanding of cs fundamentals  e g  algorithms and data structures experience with attribution  causal inference  experimental design  and ab testing methodsexperience with data visualization tools such as tableaugood communication skills and ability to explain complex topics to a non technical audiencethe ability to understand and implement publications in the fields of data science machine learning as applied to marketingpreferred qualifications advanced degree in statistics  computer science  or related fieldsfamiliarity with a marketing tech stack and digital data technologies  google analytics  pixel tracking  etc  experience in e commerce  subscription models  and or direct to consumer brandsbackground in marketing analytics and digital advertising#li cr1techstyle is an equal opportunity employer  we recruit  employ  compensate  develop  and promote regardless of race  national origin  religion  sex  sexual orientation  gender identity  age  disability  genetic information  veteran status  and other protected status as required by applicable  at techstyle  we champion a vibrant workplace culture that thrives on diversity law and do not tolerate discrimination or harassment  we are one team from many backgrounds  innovating through diversity of individuals  who are driven by passion for creating an inclusive space for all  techstyle will continue to champion a workplace culture that prizes diversity and inclusivity we encourage you to apply regardless of meeting all qualifications and or requirements ,CA,el segundo,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Q2
231,data scientist - intern,alignment healthcare,Remote,this position will play a key role in uncovering deep insights from data using advanced machine learning technologies and advanced statistical analysis …,https://www.indeed.com/rc/clk?jk=3e15a22a1e632a32&fccid=b671a434bbdb37f3&vjs=3,none,job number  2846position title  data science internexternal description data science internship   12 16 weeks alignment healthcare is a data and technology driven healthcare company focused partnering with health systems  health plans and provider groups to provide care delivery that is preventive  convenient  coordinated  and that results in improved clinical outcomes for seniors we are experiencing rapid growth  backed by top private equity firms   our data science team is looking for the best and brightest data scientists  data drives the way we make decisions  we love our customers and understanding them better makes it possible to provide the best clinical outcome and care experience this position will play a key role in uncovering deep insights from data using advanced machine learning technologies and advanced statistical analysis  processing very large data sets using cloud based data pipelines  variety of analytic tools  visualizations and delivering actionable healthcare insights   solutions problems you will work on every day will include collaborate with key business leaders to understand their business problems and come up with analytical solutions understanding the concepts and building algorithms in the healthcare domainsworking with large data sets and designing analytical approachesapplying coding skills and knowledge data structures to develop projects in partnership with other scientists and engineers in the teambuild end to end data science solutions which will improve healthcare outcomes and reduce the cost for our members develop scalable and efficient machine learning and deep learning algorithms that can work in production systems collaborate with the engineering team to build end to end cloud based machine learning production pipelines basic qualifications current phd student in computer science  engineering  mathematics  statistics  or related field with a focus on machine learning and deep learning excellent communication  analytical and collaborative problem solving skillsexperience in applying machine learning methods to real world problems with measurable outcomes depth and breadth in state of the art machine learning and deep learning technologiessolid data structures   algorithms background strong programming skills in python or similar scripting languageproficiency in open source deep learning and machine learning libraries   toolkitsdemonstrated proficiency in sql and relational databases experience with data visualization and presentation  turning complex analysis into insight experience in setting experimental analytics frameworks or strategies for complex scenarios understanding of relevant statistical measures such as confidence intervals  significance of error measurements  development and evaluation data sets  etc experience with manipulating and analyzing complex  high volume  high dimensionality and unstructured data from varying sourcesdemonstrable track record dealing well with ambiguity  prioritizing needs  and delivering results in an agile  dynamic startup environmentfamiliarity with code repositories  such as githubpreferred qualifications healthcare experiencepublished work in academic conferences or industry circles desire to work at a fast paced work environmentcity  remote   castate  californialocation city  remote   calocation state  californiacommunity   marketing title  data scientist   interncompany profile who is alignment healthcare socially responsibletechnologically enabledconcierge caretransformationservant leadershipwe are dedicated to transforming the complex and confusing process of medical treatment in the united states so that every link in the health care continuum becomes more efficient  productive  and effective  we built a team of people who want to make a difference  come join the team that is changing health care one person at a time we believe that great work comes from people who are inspired to be their best  we invite you to explore our wide variety of roles based on your unique experience eeo employer verbiage  alignment healthcare  llc is proud to practice equal employment opportunity and affirmative action  we are looking for diversity in qualified candidates for employment  minority female disable protected veteran  if you require any reasonable accommodation under the americans with disabilities act  ada  in completing the online application  interviewing  completing any pre employment testing or otherwise participating in the employee selection process  please contact careers ahcusa com ,Remote,remote,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Q3
229,data scientist,clarkston consulting,United States,experience drawing insights from large data sets and manipulating data using a variety of methods and tools  develop statistical and machine learning models for…,https://www.indeed.com/rc/clk?jk=b1296622e1af7a5e&fccid=efc7ea32b658f485&vjs=3,none,do you want the opportunity to leverage your skills to make a direct impact on the world’s leading life sciences and consumer products companies  join clarkston consulting as a data scientist to help deliver innovative business solutions to our market leading clients as a part of an expert team what you’ll do as a data scientistclarkston gives you the opportunity to deliver great solutions  become recognized as an industry expert  and help build a great practice as a data scientist at clarkston you will conduct exploratory analysis  produce descriptive statistics and explain phenomena based on datadevelop statistical and machine learning models for poc and production ready applicationsdrive ideation and execution of experiments and in market tests with an eye on accuracy and statistical significanceprovide coaching and mentorship to junior analysts who are developing their skillshow you’ll growat clarkston  we feel that we provide the greatest value to our clients through a combination of our industry expertise  business process knowledge  and consulting excellence beyond your day to day responsibilities  throughout your career as a data scientist you will have the support and mentorship of your clarkston colleagues and leadersown your career – you'll be able to take charge of your career journey with diverse opportunities to lead and expand your skillset both at the client site and within the firmhave the opportunity to make a real and positive impact not only the clients you work with  but on the firm as wellwhat we’re looking forwe are looking for versatile leaders and innovators with 3 years of relevant work experience in producing machine learning applications in production environments to work on diverse and challenging consulting projects to deliver true value to our clients an ideal candidate as a data scientist would have gained experience in one or more of the following experience drawing insights from large data sets and manipulating data using a variety of methods and toolssolid base understanding of statistical techniques around correlation  regression  outlier detection  and significanceexperience using a variety of machine learning techniques for supervised and unsupervised learning and their real world advantages drawbacks  including classification  regression  time series forecasting  clustering  and other use casesexperience optimizing  testing  and documenting results of machine learning modelsknowledge of common machine learning pitfalls and how to avoid them  including normalization  feature selection  optimization  and validationexperience querying databases and familiarity with sql script languagesknowledge of tasks relating to getting into a production environment and maintaining results  analyzing model drift  version control  security strategy  and monitoring and alertsunderstanding of the tool landscape with ability to research and form opinions around the best vendor solutions for our clientsshare your technical solutions and product ideas with the team through design review  pair programming  code model reviews  and tech talksa 4 year degree  in ms phd in math  statistics  engineering or other relevant field for data science applications  – this is a requirement for any employment at clarkstontravel is an integral part of this role and will be based on individual client  while travel is a requirement of the role  due to covid 19 restrictions  all non essential travel has been suspended and any on site requests are subject to review who we arefounded in 1991  clarkston consulting delivers technology and management solutions to market leaders in the life sciences and consumer products industries at clarkston  we cultivate success   for our clients  for our people  and for our firm  we utilize a team approach leveraging our collective expertise and industry knowledge to solve our clients’ business challenges our benefits include comprehensive health and wellness benefits  medical  dental  vision and more 401k with company contributionspaid vacation  personal days  holidays and sick leavepaid parental leavelife and disability insurancecompany equity or stock optionstraining and professional development investmentsvisit https   clarkstonconsulting com careers at clarkston  to learn more about our culture  benefits  and opportunities  we hope you’ll join us clarkston consulting is an equal opportunity employer  we are committed to creating an inclusive and equitable environment for all our stewards  we embrace diversity and thrive on the variety of backgrounds  perspectives and skills to serve our clients and our people statenationwide,United States,0,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Q3
228,remote data scientist,advito,"Pittsburgh, PA",apply data science techniques  machine learning  statistical modeling  predictive analytics  to solve for current and future issues ,https://www.indeed.com/rc/clk?jk=0c220a0db1f61130&fccid=6741f87de9721c44&vjs=3,none,advito  bcd travel's consulting firm  is looking for a data scientist  do you have a passion for data and a deep understanding to store  mine  and create synergies surrounding data  in this newly created role you look beyond what’s on the surface to discover patterns and solutions within the data data scientistfull time  homebased in the us or europeyou will architect the data process and strategy for advito and  specifically  bcd hotel solutions  you are a liaison to the advito intelligence and analytics team  you own and maintain all analytical processes and standard operating procedures and work with bcd hotel solutions leadership on bringing the data optimization vision to life  the primary responsibility for this role is applying data mining techniques  performing statistical analysis and building high quality prediction systems integrated with our products a snapshot of this opportunityarchitect processes for acquiring  cleaning  integrating and storing datasuggest and implement appropriate models or algorithms for data performanceapply data science techniques  machine learning  statistical modeling  predictive analytics  to solve for current and future issuesdesign and drive experiments  a b testing  outlier deep dives and form actionable recommendations  manage the implementation of those recommendationsunderstand our product offerings and optimize data for industry leading delivery of intelligence and consulting servicesshare insights and make business recommendations  e g   cost benefit  forecasting  experiment analysis  with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative informationcontribute knowledge to larger bcd hotel solutions initiatives to improve quality  processes and product offeringsimprove organizational performance through the application of original thinking to existing and emerging methods  processes  products and services how you can set yourself apartmaster’s degree in data science  statistics  economics or mathematicsexperience articulating business questions and using quantitative techniques to arrive at a solution using available datacomfortable working with large data sets  creating data models and algorithmsstrong data management skills  understanding of data ingestion  etl  and data storageexperience working with data visualization tools  eg  aws quicksight  tableau history of working within aws cloud infrastructure and its available toolsetsexposure to statistical methods and modeling in tools like r or python as well as data querying languages  e g  sql advanced critical thinking  analytical and quantitative skillsstrong relationship building skills and able to communicate complex ideashigh bandwidth and multi tasking skills – easily able to handle competing priorities  remain flexible and derive creative solutions under pressureabout advitoadvito is the travel industry's most progressive consultancy  enabling procurement leaders to modernize their approach to managing the travel and meetings spend category  led by a unique team of multi disciplinary experts and thought leaders  we work with both clients and suppliers to push the boundaries of traditional air and hotel sourcing and strategic meetings management for higher program returns  we provide advisory  procurement and outsourcing services in the area of corporate travel sourcing  expense and meetings management  along with rfp development and management  benchmarking and vendor management services  we minimize our clients' travel spend and maximize their travel program value in a data rich  consumer empowered world  headquartered in chicago  advito operates in key business markets around the world interested create your profile and upload your resume cover letter via our website  feel free to reach out to us with any questions via americas recruiting bcdtravel com  note  send your application via the website only stay informed about new career opportunitiesuse the 'notify me' button in our careers center to be one of the first to hear about interesting opportunities in the future  on the left hand side of the screen  you can select filters to see updates on all vacancies that match your interest note  we’ll give preference to internal and or furloughed employees #li sm1#li remotecajm,PA,pittsburgh,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Q3
227,data scientist,curve health,Illinois,several years of experience in data science  machine learning  or simulation modeling  envisioning new and useful data driven applications to help people manage…,https://www.indeed.com/rc/clk?jk=a1fff3ea523b8926&fccid=9a70490fb724cb36&vjs=3,none,about the curve health curve health is a mission driven health tech company focused on empowering care providers to treat patients in place  even under acute conditions that would otherwise require a transfer to the emergency room  this is no glorified zoom consult  rather our platform is designed to facilitate remote care for even the most complex patients during an acute event  providing a much better patient experience at a lower cost impact  who doesn't love a win win we're passionate about delivering parity of care over our telemedicine platform creating the benefits of at home hospital quality care for seniors  we're equally passionate about building cutting edge  modern technology with the latest tools and f rameworks curve health mission to catalyze hope   innovation to enable care for all you'll make an impact by modeling and analysis of large  complex datasets using advanced data science and statistical methods to generate predictions and biological insights creating new model features by intelligently combining multiple data sourcesadding to the inventory of tools and routines to accelerate experimentationcreatively applying additional techniques to develop and test new data productsenvisioning new and useful data driven applications to help people manage chronic conditionscreate and perform end to end analysis that includes design  data gathering  processing  analysis  iteration with stakeholders  and presentation of results interact cross functionally with other teams including software  clinical  operations  research  and product development you'll bring several years of experience in data science  machine learning  or simulation modelingstrong skills with a scripting languageexpertise in any deep learning  time series forecasting  pattern identification  recommendation systems  natural language processing  or other data science subdomains with application to helping transform the lives of people living with chronic conditionsability and motivation to absorb new  complex domain knowledge quicklyevident verbal and written communication skills ranging from documentation of experiments and results to explaining project goals  plans  and progressdemonstrated ability to set and follow a productive agenda independently  while keeping coordinated with the teambonus points experience with data related to chronic conditionsbiometrics in clinical settingsexperience with tracking data from mobiles and wearablesa personal connection to  or passion for caring for people living with chronic conditionshands on looker development experience including lookmlwhy curve health we are a deeply collaborative and insight driven team looking for new perspectives to challenge our thinking and unlock new opportunities to grow  individually and as a business   we are serious about diversity and inclusion  we are a seed stage series c hybrid company built on the foundation of a proven  award winning product and pointing it at new users to unlock its full potential  we are a remote team that is dedicated to creative collaboration and real culture  with weekly happy hours  whiteboard sessions  and daily all hands meetings to keep us connected benefits a remote work environmentmedical  dental  and vision packageunlimited vacationcompetitive salary   equityopen forum for innovation and ideasa personal development plan designed to help you  and us  growa fun and light work environment with serious responsibilitieseeo statement we are an equal opportunity employer and value diversity at our company  we do not discriminate on the basis of race  religion  color  national origin  gender  sexual orientation  age  marital status  veteran status  or disability status ,0,0,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Q3
226,data scientist,praxair,United States,digital americas is a multi disciplinary technical team comprised of data scientists  software engineers and operations research experts ,https://www.indeed.com/rc/clk?jk=a6b7c8323b899c8d&fccid=f0345de219ca6990&vjs=3,none,data scientist21001166linde is a leading global industrial gases and engineering company with 2020 sales of  27 billion  €24 billion   we live our mission of making our world more productive every day by providing high quality solutions  technologies and services which are making our customers more successful and helping to sustain and protect our planet  the company serves a variety of end markets including chemicals   refining  food   beverage  electronics  healthcare  manufacturing  and primary metals  linde’s industrial gases are used in countless applications  from life saving oxygen for hospitals to high purity   specialty gases for electronics manufacturing  hydrogen for clean fuels and much more  linde also delivers state of the art gas processing solutions to support customer expansion  efficiency improvements and emissions reductions  for more information about the company  please visit our website at www lindeus com position summarythis is a unique opportunity to collaborate with a diverse team of technical experts to solve a variety of complex problems in a fun and dynamic environment  with flexibility to use the latest tools and technology  imagination and creativity are the only limitations on your impact the data scientist will be a member of the digital americas organization  digital americas is a multi disciplinary technical team comprised of data scientists  software engineers and operations research experts  the team serves linde’s global business units and is tasked with creating analytics and decision support software solutions for complex problems key accountabilitiescollaborate with business partners to understand product requirements and define appropriate technical solutionslead technical development of cutting edge analytics and decision support toolsstay abreast of new technology and actively contribute ideas for new programsbalance development of new solutions with replication and support of existing toolsbasic requirementsbs in industrial engineering  chemical engineering  computer science  statistics or operations research with a specialization in data science or analyticsexcellent analytical and problem solving skillspassion for technology with a strong emphasis on user experience and business valueability to succinctly convey complex solutions to business stakeholders and executive leadershipwillingness to work in an agile and dynamic environmentavailability to travel up to 30   domestic and internationalpreferred qualificationsms or higher degree in industrial engineering  chemical engineering  computer science  statistics or operations research with a specialization in data science or analytics5  years of relevant industry experiencedeep knowledge of machine learning and or operations research theory with practical development experiencestrong programming skills in python or at least one major programming languagedemonstrated ability to follow software development best practicesability to develop  implement and support production level data science pipelinesexperience with apis and microservicesexperience with web application developmentexperience deploying solutions to cloud providers  preferably azureexperience designing and using relational databases  nosql data stores and data historiansexperience with data visualizationexperience with docker and linux environmentsall qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  age  disability  protected veteran status  pregnancy  sexual orientation  gender identity or expression  or any other reason prohibited by applicable law primary location usaother locations texas the woodlandsschedule full timejob itunposting date ongoing,United States,0,2021-04-18,0,0.0,data scientist,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Q3
