,Schedule1,Schedule2,Schedule3,Schedule4,Schedule5
0,,,year,year,year
1,year,year,,,
2,,,year,year,year
3,year,year,,,
4,year,year,,,
5,year,year,,,
6,,,hour,hour,hour
7,year,year,,,
8,,,,,
9,,,year,year,year
10,year,year,,,
11,year,year,,,
12,,,year,year,year
13,,,,,
14,year,year,,,
15,,,year,year,year
16,year,year,,,
17,,,year,year,year
18,year,year,,,
19,year,year,,,
20,year,year,,,
21,,,hour,hour,hour
22,year,year,,,
23,,,,,
24,,,year,year,year
25,year,year,,,
26,year,year,,,
27,,,year,year,year
28,,,,,
29,year,year,,,
30,,,year,year,year
31,year,year,,,
32,,,year,year,year
33,year,year,,,
34,year,year,,,
35,year,year,,,
36,year,year,,,
37,,,hour,hour,hour
38,year,year,,,
39,,,,,
40,,,year,year,year
41,year,year,,,
42,year,year,,,
43,,,year,year,year
44,,,,,
45,,,year,year,year
46,,,hour,hour,hour
47,year,year,,,
48,,,year,year,year
49,year,year,,,
50,year,year,,,
51,year,year,,,
52,,,hour,hour,hour
53,year,year,,,
54,,,,,
55,,,year,year,year
56,year,year,,,
57,,,year,year,year
58,,,,,
59,year,year,,,
60,,,year,year,year
61,,,hour,hour,hour
62,,,,,
63,,year,,,
64,,,year,year,year
65,,,year,year,year
66,,year,,,
67,,year,,,
68,,year,,,
69,,,hour,hour,hour
70,,year,,,
71,,,,,
72,,,year,year,year
73,,year,,,
74,,,year,year,year
75,,,year,year,year
76,,,hour,hour,hour
77,year,year,,,
78,,,year,year,year
79,year,year,,,
80,,,year,year,year
81,year,year,,,
82,year,year,,,
83,,,hour,hour,hour
84,year,year,,,
85,,,,,
86,,,year,year,year
87,year,year,,,
88,year,year,,,
89,,,year,year,year
90,,,year,year,year
91,,,hour,hour,hour
92,year,year,,,
93,,,year,year,year
94,year,year,,,
95,year,year,,,
96,year,year,,,
97,,,hour,hour,hour
98,year,year,,,
99,,,,,
100,,,year,year,year
101,year,year,,,
102,year,year,,,
103,,,year,year,year
104,,,,,
105,,,year,year,year
106,,,hour,hour,hour
107,year,year,,,
108,,,year,year,year
109,year,year,,,
110,year,year,,,
111,year,year,,,
